id,ciudad,zona,latitud,longitud
372,CALI,Sur,3.361147148,-76.5041231
373,CALI,Sur,3.361147148,-76.5041231
374,CALI,Sur,3.373335485,-76.50990594
375,CALI,Sur,3.373335485,-76.50990594
376,CALI,Sur,3.359326382,-76.50622595
377,CALI,Sur,3.359326382,-76.50622595
378,CALI,Sur,3.368323077,-76.50852192
379,CALI,Sur,3.368323077,-76.50852192
380,CALI,Sur,3.367219915,-76.51682604
381,CALI,Sur,3.367219915,-76.51682604
382,CALI,Sur,3.363674795,-76.50802839
383,CALI,Sur,3.363674795,-76.50802839
384,CALI,Sur,3.364060367,-76.50734175
385,CALI,Sur,3.364060367,-76.50734175
386,CALI,Sur,3.374106622,-76.51131142
387,CALI,Sur,3.374106622,-76.51131142
388,CALI,Sur,3.346259606,-76.52298439
389,CALI,Sur,3.346259606,-76.52298439
390,CALI,Sur,3.385031004,-76.51021708
391,CALI,Sur,3.385031004,-76.51021708
392,CALI,Norte,3.468422303,-76.5181693
393,CALI,Sur,3.408186,-76.53059114
394,CALI,Sur,3.408186,-76.53059114
395,CALI,Sur,3.382779403,-76.50923716
396,CALI,Sur,3.382779403,-76.50923716
397,CALI,Sur,3.38371819,-76.50945439
398,CALI,Sur,3.38371819,-76.50945439
399,CALI,Sur,3.357162879,-76.50141943
400,CALI,Sur,3.357162879,-76.50141943
401,CALI,Oeste,3.4081133,-76.5640601
402,CALI,Norte,3.468161302,-76.51802183
403,CALI,Sur,3.359582521,-76.50381164
404,CALI,Sur,3.359582521,-76.50381164
405,CALI,Oeste,3.4658418,-76.5265251
406,CALI,Sur,3.400132483,-76.52146745
407,CALI,Sur,3.400132483,-76.52146745
409,CALI,Oeste,3.409706825,-76.55103241
410,CALI,Oeste,3.4435559,-76.554511
411,CALI,Sur,3.363310643,-76.51704062
412,CALI,Sur,3.363310643,-76.51704062
413,CALI,Oeste,3.452318741,-76.54854681
414,CALI,Sur,3.3174047,-76.54336808
415,CALI,Sur,3.3174047,-76.54336808
416,CALI,Sur,3.315883757,-76.54328225
417,CALI,Sur,3.315883757,-76.54328225
418,CALI,Oeste,3.446507293,-76.5540496
419,CALI,Sur,3.351726366,-76.53511465
420,CALI,Sur,3.351726366,-76.53511465
421,CALI,Sur,3.369026101,-76.50646895
422,CALI,Sur,3.369026101,-76.50646895
423,CALI,Oriente,3.423428722,-76.49948418
424,CALI,Sur,3.353649853,-76.50549639
425,CALI,Sur,3.353649853,-76.50549639
426,CALI,Sur,3.359176436,-76.51543129
427,CALI,Sur,3.359176436,-76.51543129
428,CALI,Sur,3.346238185,-76.52211536
429,CALI,Sur,3.346238185,-76.52211536
430,CALI,Sur,3.361015715,-76.51122835
431,CALI,Sur,3.361015715,-76.51122835
432,CALI,Norte,3.474015049,-76.52444596
433,CALI,Sur,3.367316951,-76.50328884
434,CALI,Sur,3.367316951,-76.50328884
435,CALI,Norte,3.4903279,-76.5234765
436,CALI,Sur,3.358318409,-76.50858525
437,CALI,Sur,3.358318409,-76.50858525
438,CALI,Norte,3.474406579,-76.52987314
439,CALI,Sur,3.358019712,-76.50813568
440,CALI,Sur,3.358019712,-76.50813568
441,CALI,Oriente,3.430794312,-76.49202472
442,CALI,Oeste,3.458044289,-76.55860143
443,CALI,Sur,3.365328712,-76.50906837
444,CALI,Sur,3.365328712,-76.50906837
445,CALI,Norte,3.461769366,-76.53208108
446,CALI,Sur,3.325154826,-76.55020367
447,CALI,Sur,3.325154826,-76.55020367
448,CALI,Sur,3.35046906,-76.54372734
449,CALI,Sur,3.35046906,-76.54372734
450,CALI,Sur,3.350909869,-76.50445288
451,CALI,Sur,3.350909869,-76.50445288
452,CALI,Norte,3.47523273,-76.52123023
